HourUTC,HourDK,PriceArea,CentralPowerMWh,LocalPowerMWh,CommercialPowerMWh,LocalPowerSelfConMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindLt50kW_MWh,OnshoreWindGe50kW_MWh,HydroPowerMWh,SolarPowerLt10kW_MWh,SolarPowerGe10Lt40kW_MWh,SolarPowerGe40kW_MWh,SolarPowerSelfConMWh,UnknownProdMWh,ExchangeNO_MWh,ExchangeSE_MWh,ExchangeGE_MWh,ExchangeNL_MWh,ExchangeGB_MWh,ExchangeGreatBelt_MWh,GrossConsumptionMWh,GridLossTransmissionMWh,GridLossInterconnectorsMWh,GridLossDistributionMWh,PowerToHeatMWh
2025-07-01T22:00:00,2025-07-02 00:00:00,DK1,49.337138,86.099691,54.782847,30.781658,48.268063,276.013878,0.156019,335.447523,1.189315,0.393629,0.075861,0.064549,0.0,0.404688,1478.2306,716.717,-348.251,-413.779,-165.880418,103.0,2253.052041,48.151069,9.109,84.842573,69.176723
2025-07-01T23:00:00,2025-07-02 01:00:00,DK1,2.3021,81.864539,53.948069,32.313388,91.841954,302.110342,0.182657,340.457169,1.156912,0.294636,0.049748,0.086527,0.0,0.435133,1532.1457,716.94,-1274.04,-365.754,565.834532,152.5,2234.669406,52.407223,7.814,84.200856,66.810124
2025-07-02T00:00:00,2025-07-02 02:00:00,DK1,3.23789,93.517626,55.474369,38.269052,91.611066,339.363407,0.146191,386.066817,1.134009,0.263805,0.053828,0.08092,0.0,0.510204,1616.0832,716.553,-546.3708,-189.674,-525.483612,226.0,2306.836972,54.848498,3.964,87.459184,113.641628
2025-07-02T01:00:00,2025-07-02 03:00:00,DK1,2.31831,86.904661,55.757493,37.587317,81.614902,239.78266,0.303912,423.392024,1.136909,0.264748,0.036772,0.273102,0.0,0.87853,1404.3083,716.678,-570.9136,-425.044,-161.883616,313.8,2207.196424,56.308134,9.494,82.528133,63.854487
2025-07-02T02:00:00,2025-07-02 04:00:00,DK1,4.26229,98.336019,58.01789,34.447693,34.6528,143.952521,0.224853,309.526078,1.155066,0.261678,0.050766,2.611323,0.146188,0.73873,1613.8293,716.73,-750.943,-490.806,16.835692,348.2,2142.229887,53.490484,11.526,79.925914,69.710545
2025-07-02T03:00:00,2025-07-02 05:00:00,DK1,2.25183,85.747053,56.796597,42.510528,19.692665,228.076377,0.680844,275.353412,1.131744,1.076425,0.235194,49.875375,2.55935,0.956235,1390.7206,695.305,-1121.5728,-492.39,482.136761,428.3,2149.44319,47.765957,11.59,76.789094,98.008535
2025-07-02T04:00:00,2025-07-02 06:00:00,DK1,2.66916,90.285354,57.522247,63.570165,16.042781,456.390039,0.359204,254.118598,1.130847,8.924876,1.786147,160.757006,18.461927,0.725185,1322.2281,670.33,-898.618,-492.319,628.153432,110.9,2473.418069,48.980059,11.619,82.982112,171.898605
2025-07-02T05:00:00,2025-07-02 07:00:00,DK1,5.63672,91.866315,65.808016,84.695144,21.931124,294.651917,0.324769,166.350414,1.148991,27.781836,4.390367,475.192742,25.368248,0.80325,1361.6716,701.149,-1107.4724,-492.18,574.348053,429.4,2732.866105,55.34688,11.61,89.976647,112.220353
2025-07-02T06:00:00,2025-07-02 08:00:00,DK1,4.23278,91.923043,60.360209,126.161061,16.04434,145.693157,0.564717,110.692761,1.15183,62.196592,9.840758,853.699108,46.286823,0.991424,1521.9555,710.007,-379.1142,-487.781,-234.833623,281.3,2941.37228,60.536951,11.491,95.753104,87.327286
2025-07-02T07:00:00,2025-07-02 09:00:00,DK1,4.96391,124.196979,55.879005,133.424633,19.62394,304.49848,1.432708,152.544045,1.126152,91.962915,15.00846,1126.256267,61.661381,0.720525,1615.476,685.511,-525.1402,-285.25,-806.576814,261.5,3038.819387,58.437064,5.96,99.546924,88.111771
2025-07-02T08:00:00,2025-07-02 10:00:00,DK1,4.09386,93.582855,47.150679,154.795864,61.616301,472.450494,1.893337,188.414911,1.08409,122.65561,20.001649,1277.11987,70.988853,0.817451,1369.1843,656.839,96.0348,-463.674,-1126.259561,113.1,3161.890366,60.191605,10.684,102.420538,106.001958
2025-07-02T09:00:00,2025-07-02 11:00:00,DK1,4.90293,171.415699,57.434469,204.484254,79.488143,497.564204,1.732567,187.80298,1.136179,170.900707,28.574759,1583.551265,89.151337,0.928392,1012.4213,600.907,57.8513,-302.41,-1257.967176,65.9,3255.770309,56.963962,7.0636,102.738131,122.110256
2025-07-02T10:00:00,2025-07-02 12:00:00,DK1,2.00649,86.252321,45.146601,184.894733,48.588855,314.446777,1.272686,158.389881,1.135284,179.226923,30.035577,1558.524982,88.389374,0.751599,573.0973,309.872,448.0048,613.646,-1447.245173,73.5,3269.93701,46.069726,15.3067,126.801121,148.151468
2025-07-02T11:00:00,2025-07-02 13:00:00,DK1,5.784469,79.162234,45.710345,151.631614,58.459275,221.523114,1.060784,127.086226,1.117762,133.608701,22.207544,1235.545599,69.568092,0.993513,909.2991,397.865,232.5754,680.385,-1369.826761,287.6,3291.357011,46.814768,17.8159,129.41561,180.936483
2025-07-02T12:00:00,2025-07-02 14:00:00,DK1,1.99944,79.950717,45.925581,153.627585,45.841015,271.251026,0.847006,90.030688,1.101899,137.148336,22.432799,1375.226174,76.740364,0.912626,1062.0139,630.778,15.8802,449.703,-1300.860487,55.5,3216.04987,49.43885,9.5772,128.618362,190.075806
2025-07-02T13:00:00,2025-07-02 15:00:00,DK1,2.54418,149.932718,53.486106,171.527355,38.25353,236.158081,0.814652,67.98519,1.10386,162.536104,27.412677,1431.822737,81.088577,0.79334,1456.6784,655.235,-112.412,-276.315,-1009.91338,-80.5,3058.232126,57.032873,6.035,99.219153,119.386595
2025-07-02T14:00:00,2025-07-02 16:00:00,DK1,4.139876,335.058779,75.173086,176.834135,14.740883,161.315325,1.310624,101.666938,1.099673,135.51854,23.68062,1205.538525,68.236885,1.435559,1619.9837,647.498,-214.2171,-491.804,-603.982746,-296.2,2967.027301,50.912129,11.354,93.784011,81.869753
2025-07-02T15:00:00,2025-07-02 17:00:00,DK1,4.15532,344.911388,77.447714,126.755486,26.335879,188.005187,1.508845,298.48425,1.097321,65.139004,12.127923,619.124832,34.819588,1.363436,1621.1041,691.323,-776.0176,-470.269,333.772346,-253.3,2947.889019,43.283534,10.819,100.094756,80.231171
2025-07-02T16:00:00,2025-07-02 18:00:00,DK1,2.53882,113.827424,71.708087,79.267811,53.827661,475.371353,1.97743,398.042155,1.094099,27.462689,5.202267,253.315649,14.29903,1.174523,1396.6397,716.04,-814.7451,-491.219,1044.237468,-327.1,3022.962066,64.408979,11.339,104.479529,266.934002
2025-07-02T17:00:00,2025-07-02 19:00:00,DK1,3.836,125.765889,75.476927,66.662268,54.304739,266.700638,1.17173,360.08595,1.092217,13.480386,2.974184,194.495267,24.719431,1.295909,1283.9167,716.853,-680.7346,-492.21,1068.418037,-299.2,2789.104672,54.757086,11.57,96.5037,167.949565
2025-07-02T18:00:00,2025-07-02 20:00:00,DK1,7.31357,113.502303,62.066552,43.568359,16.318276,80.289244,0.35429,179.519031,1.094233,5.602864,2.033162,94.483203,9.044461,1.124965,1401.8208,716.049,-567.0816,-491.916,1068.562914,-167.8,2575.949627,48.861981,11.706,92.199111,104.646345
2025-07-02T19:00:00,2025-07-02 21:00:00,DK1,8.07918,96.03704,54.030539,32.870448,14.17553,88.422757,0.241494,141.253263,1.098785,1.36705,0.778448,9.458754,0.580213,0.686041,1533.7521,716.873,-774.3035,-488.577,1066.375891,-33.7,2469.500033,54.886256,11.427,89.03865,89.873751
2025-07-02T20:00:00,2025-07-02 22:00:00,DK1,6.35064,82.660981,57.721664,39.310473,30.592192,222.555615,0.542609,234.84498,1.099954,0.600036,0.224869,0.848215,0.083656,0.611333,1371.5879,702.861,-832.5538,-492.185,941.415032,62.4,2431.572349,53.080368,11.595,90.126931,112.790056
2025-07-02T21:00:00,2025-07-02 23:00:00,DK1,2.33732,100.139279,48.241017,42.031058,60.216092,382.020137,1.291968,426.521615,1.107351,0.480963,0.111525,2.358324,0.147541,0.560435,1378.3836,665.594,-1591.228,-435.033,842.244145,419.6,2347.12537,61.686478,10.013,86.915798,138.403273
2025-07-02T22:00:00,2025-07-03 00:00:00,DK1,2.03141,92.589046,47.729605,40.14383,92.274751,715.024916,2.393202,438.186405,1.101655,0.418301,0.12891,2.831484,0.168935,1.32788,1320.4125,715.595,-348.0202,-55.469,-938.677682,300.9,2431.090948,70.634678,2.359,86.234426,257.622889
2025-07-02T23:00:00,2025-07-03 01:00:00,DK1,2.0538,86.616052,50.577232,52.136773,128.948764,1122.390204,4.023592,821.985107,1.101797,0.364608,0.081482,6.581174,0.351363,0.820734,1247.4818,716.774,-939.0221,188.567,-1055.76692,-117.9,2318.166462,78.248577,3.3422,86.08985,176.516661
2025-07-03T00:00:00,2025-07-03 02:00:00,DK1,2.06095,94.310241,56.989908,56.203652,173.149521,1213.78684,5.795485,1229.848153,1.096193,0.335108,0.083782,5.919577,0.316923,0.973506,888.9295,716.758,-852.5885,247.948,-1353.847116,-247.5,2240.569723,92.681804,4.7525,85.505645,107.046591
2025-07-03T01:00:00,2025-07-03 03:00:00,DK1,2.06682,107.494042,67.54315,63.197307,172.166816,1270.606677,6.568799,1489.066061,1.086289,0.269531,0.057921,7.265975,0.379671,0.80046,978.9125,713.409,-955.952,-105.446,-1447.790547,-111.0,2260.702472,97.858387,3.2935,93.773378,117.095157
2025-07-03T02:00:00,2025-07-03 04:00:00,DK1,2.324395,85.701561,59.110433,67.468809,216.715003,1328.839297,8.837929,1862.63127,1.092354,0.244802,0.055758,12.872536,0.658655,0.759495,633.1397,468.079,-1256.3308,-68.844,-1242.497056,173.3,2354.159141,104.228185,2.7243,101.683841,188.18842
2025-07-03T03:00:00,2025-07-03 05:00:00,DK1,2.245725,86.236186,58.611445,72.168841,223.53987,1338.709018,10.140176,2107.136893,1.117898,1.217905,0.255482,48.235947,3.856424,0.620346,329.5438,160.919,-1214.3443,25.028,-1303.232372,510.2,2462.206284,113.711352,2.2882,106.290919,208.556109
2025-07-03T04:00:00,2025-07-03 06:00:00,DK1,2.308175,88.948075,57.140234,91.442297,116.624513,1344.185623,11.294791,2229.266793,1.102766,9.134084,1.621193,157.102065,19.882771,0.924449,120.9289,553.617,-1298.8547,-18.589,-1378.295515,500.1,2609.884513,120.11223,2.5501,114.606476,112.230827
2025-07-03T05:00:00,2025-07-03 07:00:00,DK1,2.037405,89.522978,57.652683,123.982905,148.408588,948.158311,12.282503,2354.777923,1.091031,34.203064,5.394108,412.533664,22.606543,1.064817,-9.068,471.95,-1173.7265,486.622,-1451.742036,490.2,3027.951986,110.650871,13.212,129.558686,270.553122
2025-07-03T06:00:00,2025-07-03 08:00:00,DK1,3.154825,84.279127,59.966115,161.412886,73.92117,752.176358,13.290026,2462.252069,1.0978,80.768065,12.688499,776.775282,43.511593,1.359043,-334.4678,692.197,-882.0286,208.884,-1453.776962,520.2,3277.660495,106.199316,10.6038,135.801842,326.709986
2025-07-03T07:00:00,2025-07-03 09:00:00,DK1,4.847006,75.519394,49.406556,194.564029,49.55402,402.31296,14.024545,2404.029925,1.093641,140.279189,22.781386,763.964418,90.69635,1.061397,-555.5734,556.42,-114.3746,417.875,-1453.533343,498.6,3563.54847,82.609706,19.8424,169.432435,464.524288
2025-07-03T08:00:00,2025-07-03 10:00:00,DK1,4.470205,69.56712,44.314134,223.935919,41.602639,370.7325,14.460108,2220.008201,1.095399,206.248617,33.609712,844.491627,81.384987,1.263353,-772.97,642.347,102.6529,608.217,-1453.551016,396.2,3680.080407,63.16101,32.088,170.016482,519.572002
2025-07-03T09:00:00,2025-07-03 11:00:00,DK1,6.01189,67.945611,43.386342,248.904046,42.970465,328.9519,14.524607,2409.060008,1.095783,263.048556,43.505319,908.538923,108.953232,1.253227,-974.8705,592.739,5.3848,566.409,-1453.568352,456.1,3680.343855,73.207846,36.6545,171.719615,471.087882
2025-07-03T10:00:00,2025-07-03 12:00:00,DK1,6.108275,70.627074,43.834648,257.034801,69.496752,333.4565,14.560286,2399.812339,1.096241,294.990988,49.645746,1105.607812,91.683937,1.501874,-1131.1771,558.967,-6.5772,582.817,-1453.442066,410.6,3700.64491,81.977054,43.6571,161.999364,538.968034
2025-07-03T11:00:00,2025-07-03 13:00:00,DK1,6.035575,69.415722,43.034957,258.709489,74.720102,335.4581,14.482061,2420.739738,1.094699,302.731794,50.903839,1142.239498,77.297951,0.689852,-916.2535,567.725,-200.5429,455.773,-1453.275057,414.6,3665.57992,82.907721,31.4025,170.122235,506.520016
2025-07-03T12:00:00,2025-07-03 14:00:00,DK1,6.07264,74.202536,42.914529,251.608393,47.27197,342.1831,14.409409,2359.088851,1.089829,293.409984,49.574066,1155.27371,74.912888,0.647652,-694.2551,643.948,-374.0665,280.797,-1453.522371,433.6,3549.160586,92.11118,20.2681,156.799186,465.120067
2025-07-03T13:00:00,2025-07-03 15:00:00,DK1,6.035795,75.198707,40.758231,240.209992,75.514509,318.3719,14.110349,2298.444095,1.090988,269.75355,46.096792,905.405243,61.062778,1.138739,-472.2507,645.142,-4.4819,-28.435,-1453.602409,434.2,3473.76366,77.296888,11.7857,136.080597,490.343236
2025-07-03T14:00:00,2025-07-03 16:00:00,DK1,5.861465,76.154115,50.335906,215.745722,76.293071,530.540127,13.650035,2385.005882,1.08916,220.198123,38.856178,1399.809588,82.943192,1.318331,-251.7757,557.273,-460.1806,-463.723,-1453.169528,308.3,3334.525069,88.354027,16.7347,142.151421,349.128003
2025-07-03T15:00:00,2025-07-03 17:00:00,DK1,6.128569,84.484694,57.023095,187.284035,73.112758,1046.116915,13.07436,2431.622373,1.091198,151.757114,28.216722,1246.14865,71.306122,1.432614,-39.3856,593.522,-962.7189,-458.26,-1452.649146,207.5,3286.807575,121.795507,14.7696,132.175288,277.774651
2025-07-03T16:00:00,2025-07-03 18:00:00,DK1,5.963095,89.382994,62.486942,145.999402,91.653658,1028.209041,12.312056,2340.881871,1.086409,88.995672,17.076504,973.212463,53.964233,1.235958,118.0144,639.537,-1211.2086,-486.154,-1408.423667,488.2,3052.42543,118.096769,12.8366,128.625544,189.783834
2025-07-03T17:00:00,2025-07-03 19:00:00,DK1,6.435035,100.37573,66.039081,137.237209,131.591321,942.706731,10.768201,2226.517493,1.090601,41.014058,8.385886,567.863506,30.863173,1.094737,779.0147,620.593,-1962.7733,-491.701,-741.126602,371.0,2846.989559,120.224145,12.2163,119.865827,181.430091
2025-07-03T18:00:00,2025-07-03 20:00:00,DK1,7.458665,105.657497,70.996046,82.111864,114.49288,856.516952,8.45639,1771.31542,1.086797,11.121401,2.694712,212.327799,17.263327,1.260068,1309.3168,607.065,-2226.8657,-491.776,-224.169794,344.6,2580.930123,108.299006,11.9738,104.076195,97.762318
2025-07-03T19:00:00,2025-07-03 21:00:00,DK1,7.05361,249.510355,88.331913,63.469125,96.657281,786.1889,5.743933,1308.658048,1.070561,3.907502,1.468362,57.297348,3.745171,1.31517,1610.9588,670.077,-2319.8155,-489.828,314.320985,1.1,2461.230564,99.79842,11.708,95.620574,87.944342
2025-07-03T20:00:00,2025-07-03 22:00:00,DK1,6.735435,240.001697,91.988602,51.073513,75.245693,720.413596,3.911029,1060.588545,1.079738,1.446758,0.718663,4.37066,0.326804,1.15739,1584.7958,710.354,-2157.6871,-472.719,412.916007,68.8,2405.51783,85.124654,11.109,91.391005,113.28728
2025-07-03T21:00:00,2025-07-03 23:00:00,DK1,6.407025,109.659924,77.110418,39.968774,64.710304,691.31224,2.831917,899.959048,1.09047,0.644424,0.224977,2.530659,0.170003,1.035458,1253.4481,671.909,-2251.9526,-433.979,924.201163,200.0,2261.282304,75.486884,9.889,86.744788,83.726392
2025-07-03T22:00:00,2025-07-04 00:00:00,DK1,6.220855,89.453734,65.296955,40.082721,54.272386,665.29293,2.108232,849.96931,1.088422,0.445845,0.106638,1.944187,0.124834,0.637748,1328.6673,704.713,-2355.8526,-456.722,886.029439,307.1,2190.979936,80.793502,10.602,82.662597,75.600395
2025-07-03T23:00:00,2025-07-04 01:00:00,DK1,3.803455,83.455695,64.549834,41.9876,56.918413,669.633457,1.619368,790.412246,1.086635,0.390765,0.077569,2.555565,0.151195,0.979638,1489.504,716.203,-2484.4002,-19.421,707.638683,55.4,2182.545918,82.60765,2.241,85.580582,92.897333
2025-07-04T00:00:00,2025-07-04 02:00:00,DK1,3.54028,83.680155,62.681438,45.453859,63.874113,703.191409,1.581976,753.660184,1.063746,0.337607,0.040916,4.116339,0.224743,1.089556,1500.2527,716.598,-2412.4297,277.864,244.117752,86.5,2137.439073,81.735139,4.916,80.721169,77.53386
2025-07-04T01:00:00,2025-07-04 03:00:00,DK1,2.20427,79.274991,62.796466,46.68192,66.484984,706.521533,1.60598,677.866747,1.066818,0.290753,0.049975,3.835717,0.208822,1.03153,1549.5035,716.622,-2465.2607,146.419,483.715596,49.5,2130.419902,79.807174,2.891,81.371621,99.293758
2025-07-04T02:00:00,2025-07-04 04:00:00,DK1,2.0591,82.994424,64.194604,49.105682,70.376729,613.003654,1.613008,693.463732,1.082285,0.300622,0.043679,6.529514,0.343691,0.913218,1530.6373,717.12,-2448.7364,-131.538,786.654836,38.7,2078.861678,74.67419,3.358,78.257324,81.655045
2025-07-04T03:00:00,2025-07-04 05:00:00,DK1,2.06453,97.07729,64.15115,54.735971,76.790085,534.693553,1.272794,584.330928,1.066692,1.691812,0.354261,64.209219,3.312765,0.883805,1539.529,717.049,-2313.1314,-459.272,1025.358095,99.8,2095.96755,68.319707,10.682,76.099258,79.686471
2025-07-04T04:00:00,2025-07-04 06:00:00,DK1,3.61744,87.249305,48.117464,78.190428,39.250099,558.08871,1.66799,546.748101,1.061099,10.480373,1.912502,221.419418,11.690615,0.943619,1432.9629,709.326,-2045.4207,-428.206,1052.756041,-45.9,2285.955404,69.526633,9.786,79.709811,87.449459
2025-07-04T05:00:00,2025-07-04 07:00:00,DK1,5.93256,83.784257,61.815465,117.331074,27.394968,589.91517,3.861508,630.969098,1.08509,34.655354,6.185393,554.529147,29.768496,1.05336,1423.1867,715.666,-2171.1971,284.582,420.044511,-162.1,2658.46305,85.250468,5.128,88.59458,111.696839
2025-07-04T06:00:00,2025-07-04 08:00:00,DK1,4.69101,91.764858,68.928085,152.214096,36.158971,688.128286,6.05624,917.229697,1.087043,76.380965,12.799935,962.058446,52.561966,1.155805,989.5119,707.745,-1896.1722,524.48,-428.783931,-81.6,2886.396173,84.531376,11.8299,94.562931,119.393146
2025-07-04T07:00:00,2025-07-04 09:00:00,DK1,3.61802,89.968477,65.109403,206.825388,38.618364,731.297267,7.268586,1133.53113,1.080827,125.847439,21.356551,1263.96302,70.55835,1.286563,1013.5204,717.397,-1318.0405,-170.385,-814.974633,-161.9,3025.946653,85.966854,4.5046,99.846375,131.462865
2025-07-04T08:00:00,2025-07-04 10:00:00,DK1,1.85306,72.577038,61.613246,228.368191,49.019367,787.938319,8.948274,1379.168757,1.070157,157.606001,26.599619,1475.876707,83.00412,1.128845,438.1303,717.39,-1051.7773,433.302,-1436.831953,-140.8,3294.184744,90.203608,9.2097,108.881032,249.367497
2025-07-04T09:00:00,2025-07-04 11:00:00,DK1,2.076343,72.698417,60.926562,194.437102,42.887414,662.129889,9.775255,1691.479026,1.08593,157.253053,25.419631,1277.432477,73.005257,0.966304,-340.4836,717.353,-560.851,667.966,-1399.352101,-63.6,3292.60496,75.63482,24.4026,111.945482,248.31925
2025-07-04T10:00:00,2025-07-04 12:00:00,DK1,1.76735,75.40319,57.427896,165.888359,16.511656,295.294114,10.098297,1362.391328,1.083122,155.989133,24.997192,697.114912,74.403625,1.004171,-546.8108,642.486,875.3649,668.776,-1052.166327,-174.7,3352.324115,49.322377,29.1088,114.127596,369.61486
2025-07-04T11:00:00,2025-07-04 13:00:00,DK1,10.134374,72.055937,57.414193,180.30617,17.850191,140.664208,10.285819,1250.25949,1.082158,162.420338,26.958304,467.159983,129.19162,1.384841,-22.8144,487.011,308.99,604.118,-97.680862,-387.1,3419.69136,45.217948,17.7254,131.802707,425.655673
2025-07-04T12:00:00,2025-07-04 14:00:00,DK1,7.105716,72.528502,55.385383,168.078563,27.776533,110.637488,10.327415,1389.993049,1.084545,140.52907,22.838959,498.55785,137.343246,1.38887,-201.0155,209.559,54.5909,636.263,341.441086,-466.2,3218.21368,48.407221,21.0175,131.571453,305.786599
